20240603	14:13:51	b65ee6b4-0e44-460e-bd20-9d560fdfafc4	/	GET
20240603	14:13:51	99b4f34e-da37-4d3f-bf99-51e15c7e09d7	/css/style.css	GET
20240603	14:13:52	55980f65-f45c-4b45-a4c0-d64aeda4aa8f	/favicon.ico	GET
20240603	14:14:00	1f75a970-d2eb-4183-b85b-866148c9387d	/css/style.css	GET
20240603	14:14:46	d97133a0-8d7a-4dee-a3fd-d1377dfa7f18	/old	GET
20240603	14:14:46	40e7a8f0-c7a0-4cd1-bee1-b2880f0120aa	/css/style.css	GET
20240603	14:15:33	1631f5a0-da48-4e69-be69-a9768e6691c7	/	GET
20240603	14:15:33	081380ad-e74f-43e6-a713-8596979f3c64	/css/style.css	GET
20240603	14:30:10	c4bb224c-cc1c-4c10-8a42-c34af417e503	/new-page.html	GET
20240603	14:30:10	fee44933-b1fa-45ca-87d6-fa1f1a330dfd	/css/style.css	GET
20240603	14:30:10	dd42033f-2d1a-4e72-96ad-4e8141e53bae	/img/img1.jpg	GET
20240603	14:30:15	0db4809a-80be-45c6-b288-cb2ccd0e6b05	/	GET
20240603	14:30:15	27770d44-e705-4027-aa4b-e655f29004df	/css/style.css	GET
20240603	14:30:54	6e42f75b-c2df-497b-9684-7d3db5b55be8	/old-page.html	GET
20240603	14:30:54	0f321f12-169a-48c2-813d-bd07625771ea	/new-page.html	GET
20240603	14:30:54	a52b8ab5-a765-43b2-ae8c-3d2bda742208	/css/style.css	GET
20240603	14:30:54	cb9aac5f-27ce-4c98-b60a-94917189d8cf	/img/img1.jpg	GET
20240603	14:31:33	595f32cc-1769-40e7-a923-8576819e221a	/	GET
20240603	14:31:33	6aa01925-c291-489a-a2c1-f1f747af1cd6	/css/style.css	GET
20240603	14:39:56	5214b193-4511-4d6b-a6d2-5b95e1fe1cdd	/data/data.json	GET
20240603	14:40:05	10866f9c-21c4-43a5-affc-67f56454edb2	/	GET
20240603	14:40:05	aef21c16-e4cc-4e63-bfb6-24bb037fa67e	/css/style.css	GET
20240603	17:36:59	40f7f11a-abbf-4d63-aac9-a38b52346e85	GET	undefined	/
20240603	17:36:59	a75533e9-78c8-4f3f-84c8-e14bb33bf49a	GET	undefined	/css/style.css
20240603	17:40:21	ce0edc6e-b9d8-4fcb-aea3-7d66d2e5b27b	GET	undefined	/
20240603	17:40:21	52f5bf34-a2f4-4b89-9dce-d228333431e7	GET	undefined	/css/style.css
20240603	17:44:46	74bbe28f-1837-4a03-a68b-d91142747d0c	GET	undefined	/
20240603	17:44:46	316088e0-bc02-4dd6-86a3-9921752ef0a3	GET	undefined	/css/style.css
20240603	17:47:11	71cccb67-80e8-400f-902d-000a56362572	OPTIONS	https://www.google.com	/
20240603	17:47:11	ad492fd2-8a80-43d1-9137-10e48dcacf66	GET	https://www.google.com	/
20240603	18:18:16	0af0a9f5-fdd9-40a4-bb1f-02a443da3f0f	GET	undefined	/
20240603	18:18:16	81e29fcf-8b97-458f-9f37-3d5d1600b288	GET	undefined	/css/style.css
20240603	18:18:17	3bfa77cb-f300-4146-a128-ae93a96cfc85	GET	undefined	/
20240603	18:18:17	2e4aaa3a-aa3b-4cd9-a581-05647656d627	GET	undefined	/css/style.css
20240603	18:18:53	ef672a19-4f11-4dd0-8afa-7dffb83ef533	GET	undefined	/
20240603	18:19:17	695e789f-ef2b-4755-8378-b7be1895fcea	GET	undefined	/
20240603	18:19:26	486a12c3-2c5d-4e7f-b829-4de6a1712259	GET	undefined	/
20240603	18:19:26	fbdb449f-bb7b-4a5e-94d0-8fede1b4ebf4	GET	undefined	/css/style.css
20240603	18:21:58	7a41129b-edfa-4408-919b-21886bf9a4e7	GET	undefined	/me
20240603	18:21:58	26c35daf-4e15-4756-838f-2dbc9c6ae11f	GET	undefined	/css/style.css
20240603	18:22:00	339e387d-3b66-4ac1-b40a-897c2bfcaa45	GET	undefined	/me
20240603	18:22:00	617be3c2-f2b6-4589-a667-73bfb8c9b6e8	GET	undefined	/css/style.css
20240603	18:22:07	be478d14-da78-45d0-9f3c-1bad601ab0c5	GET	undefined	/
20240603	18:22:07	12069a87-5820-4472-8565-4a19a0cf8e2f	GET	undefined	/css/style.css
20240603	18:25:48	d13c26e8-ca84-4645-9703-912b4ec37afd	GET	undefined	/me
20240603	18:25:48	6e50ff3d-4c4a-4d6a-9a79-61c8840c6ba0	GET	undefined	/css/style.css
20240604	10:30:38	7be5aaa2-b8b3-417b-8e55-2e184dd69ed3	GET	undefined	/
20240604	10:30:38	e60f3356-5a4f-4f65-9434-d8851048f72f	GET	undefined	/css/style.css
20240604	10:30:39	440cdb84-3383-481a-8489-157904d12fd7	GET	undefined	/favicon.ico
20240604	10:31:08	eaf3c24a-0c94-4a6b-bd09-48ff2251ab3a	GET	undefined	/subdir
20240604	10:31:23	f8296f39-f7ab-4fa8-952f-474f6de888a8	GET	undefined	/subdir/test.html
20240604	10:31:23	cf376319-49ff-4bb4-a6a1-ad0326459cfa	GET	undefined	/subdir/css/style.css
20240604	10:31:50	25f66386-a617-4f65-b9fe-fa8e3a52e358	GET	undefined	/subdir/test
20240604	10:31:50	f9542824-a495-460c-92da-e95f3e72c838	GET	undefined	/subdir/css/style.css
20240604	10:32:53	9555f323-0943-4578-b4b9-e3dd2844b265	GET	undefined	/subdir/test
20240604	10:32:57	f2af90ef-0144-471e-a1ef-629af84002f8	GET	undefined	/subdir/test.html
